hg,z20,k20,zz20,kk20,jz,z20js,k20js,zc20js,kc20js
0,1.13,1.868,1.496,1.48,0.31,-0.32,0.84,0.07,0.158
1,1.316,1.069,1.439,0.403,0.23,0.3,-0.42,0.046,-1.076
0.5,1.051,1.146,1.474,0.868,0.2,-0.16,-0.48,0,-0.494
1.75,2.165,1.178,2.605,0.848,2.64,0.97,-0.2,1.926,-0.371
0.25,1.794,1.589,1.931,1.232,-0.65,0.72,-0.04,0.928,-0.626
-1,1.167,2.183,1.588,1.966,-0.72,-0.15,1.28,0.524,0.843
0.5,1.268,1.053,1.436,0.723,0.21,-0.02,-0.37,0.352,-0.533
0,1.094,1.401,1.328,0.978,-0.05,-0.43,0.39,0.053,-0.113
0,0.993,1.038,1.108,1.273,0.37,-0.22,-0.37,-0.152,-0.502
0,2.111,1.652,2.177,1.651,0.33,0.97,0.62,1.132,0.475
0.75,1.616,1.642,2.407,1.425,0.13,0.26,0.5,0.877,0.349
1,1.818,1.113,2.032,1.006,0.92,0.85,-0.15,1.09,-0.464
0.25,1.034,1.203,1.622,0.749,0.64,-0.58,-0.13,0.2,-0.627
0.5,1.4,1.31,1.974,0.916,1.23,-0.37,0.29,0.583,-0.381
0.5,1.123,1.253,1.12,0.779,1.63,-0.45,-0.24,-0.432,-0.967
0,1.213,1.09,1.848,0.797,-1.28,-0.1,-0.13,0.608,-0.462
1,1.573,1.242,1.997,1.189,1.75,0.59,-0.16,0.864,-0.034
0.25,1.253,1.488,1.941,1.276,0.06,0.2,0.25,0.681,0.182
-0.5,1.069,1.724,1.443,1.273,-0.03,-0.55,0.38,0.296,0.107
-0.5,0.987,1.789,1.485,1.397,-0.03,-0.5,0.56,0.388,-0.004
0.25,1.858,2.162,1.964,1.615,-1.01,0.86,1.1,1.112,-0.035
0,1.168,1.432,1.442,1.111,-1.06,-0.31,-0.39,0.112,-0.827
0.5,1.153,0.847,1.65,0.395,-0.54,-0.39,-0.59,0.256,-1.075
0.5,1.75,1.602,2.418,1.759,0.12,0.42,0.59,0.939,0.646
1.5,1.999,1.947,2.577,1.511,2.62,0.92,0.92,2.032,0.141
0.75,1.934,1.129,2.013,0.801,1.48,0.66,-0.05,0.808,-0.453
0.25,1.097,1.108,1.347,1.207,-0.29,-0.3,-0.46,0.144,-0.552
0,1.051,1.22,1.226,0.818,1.02,-0.21,0.16,-0.089,-0.137
0.5,1.179,1.368,1.697,0.869,0.91,-0.27,0.07,0.573,-0.342
0.75,1.459,1.04,1.84,0.73,2.12,0.22,-0.48,0.61,-0.624
-0.75,1.284,1.949,1.43,1.927,-0.25,0.31,0.96,0.045,0.806
0.75,1.485,1.439,2.017,0.897,0.73,0.49,0.4,0.706,-0.394
0,1.361,1.915,1.899,1.55,1.22,0.07,0.65,0.612,0.096
0.75,1.382,1.216,1.931,0.734,1.48,-0.41,-0.22,0.486,-0.755
0.25,1.045,1.204,1.353,0.784,0.35,-0.51,-0.27,0.21,-0.947
0,1.166,1.389,1.504,1.25,0.23,-0.01,0.16,0.02,0.158
0.25,1.2,0.909,1.037,0.985,1.75,-0.21,-0.47,-0.464,-0.475
-1.25,1.011,1.982,1.395,1.583,-3,-0.47,0.86,0.3,0.054
0,1.256,1.581,2.043,1.138,-1.93,0.3,0.25,0.727,-0.12
1.75,1.79,1.108,1.997,0.831,1.98,0.84,-0.29,1.138,-0.624
0.75,2.011,1.215,2.052,1.105,1.66,0.97,-0.23,1.088,-0.114
-0.5,1.131,1.515,1.723,1.663,-1.49,-0.26,0.56,0.602,0.553
0.5,1.289,1.514,1.582,0.852,0.14,0.23,0.21,0.201,-0.355
0.5,1.836,1.157,1.992,1.135,1.34,0.57,-0.38,0.792,-0.601
1,1.542,0.95,1.804,0.567,-0.41,0.3,-0.7,0.578,-0.973
1.75,2.003,1.176,2.585,0.856,2.03,1.04,-0.22,1.971,-0.552
0,0.965,1.17,1.426,0.983,-0.36,-0.45,0.21,0.009,0.086
0,1.072,1.143,1.201,0.845,0.39,-0.24,-0.03,-0.188,-0.363
-0.5,1.131,1.61,1.441,1.055,-2.03,-0.31,0.29,0.141,-0.158
-0.25,1.06,1.911,1.433,1.631,-1.36,-0.46,0.83,0.11,0.255
1.25,1.814,1.294,2.097,1.149,1.33,0.86,-0.44,1.236,-0.77
-0.25,1.424,1.692,1.982,1.366,-1.56,0.09,0.43,0.64,0.215
0,0.931,1.112,1.307,0.839,-0.81,-0.63,-0.34,0.013,-0.621
-0.75,1.505,2.023,2.158,1.692,-2.03,0.55,1.02,0.933,0.294
0.5,1.194,1.048,1.362,0.779,1.44,-0.29,-0.33,0.133,-0.659
0.25,1.207,1.284,1.941,0.879,1.53,0.25,0.23,0.633,-0.466
0.75,1.715,0.885,1.892,0.775,2.04,0.51,-0.48,0.696,-0.732
1.5,1.758,0.99,2.31,1.106,2.62,0.63,-0.35,0.88,-0.405
0.5,1.18,1.219,1.474,0.648,-1.36,0.01,-0.21,0.08,-1.089
0.75,1.148,1.068,1.953,1.123,1.2,-0.69,-0.6,0.573,-0.111
-0.5,1.832,1.802,2.031,1.888,0.13,0.69,0.92,1.067,0.81
0,1.838,1.535,1.803,1.57,1.12,0.52,0.58,0.579,0.501
0.25,1.15,1.395,1.017,0.875,0.6,-0.29,0.07,-0.434,-0.348
-0.75,1.208,1.863,1.748,1.214,-1.41,-0.16,0.68,0.67,0.227
-0.25,0.97,1.621,1.237,1.519,-0.11,-0.29,0.34,-0.063,0.114
1.5,1.886,1.323,2.714,1.023,0.13,0.95,0.31,2.084,0.165
0,1.155,1.047,1.585,1.081,-0.18,-0.51,-0.67,0.389,-0.229
0.75,1.756,1.337,1.99,0.848,0.74,0.61,0.43,1.025,-0.356
2.25,1.906,0.852,2.115,0.556,1.87,0.96,-0.7,1.351,-0.994
-0.25,0.928,1.149,1.337,1.126,1.2,-0.31,-0.61,-0.032,-0.814
0.25,1.258,1.17,1.611,1.052,1.6,0.2,-0.32,0.237,-0.629
1,1.565,1.011,2.054,1.084,2.4,0.61,-0.24,0.834,-0.417
1.25,1.2,0.835,1.963,0.525,2.62,0.14,-0.76,0.64,-1.094
-1,1.37,1.988,1.625,1.718,-0.69,0.4,0.99,0.42,0.328
0.25,1.086,1.187,1.352,0.762,0.72,-0.68,-0.25,-0.182,-0.729
1.25,1.85,1.132,2.404,0.514,2.33,0.62,-0.48,0.923,-1.448
0,1.063,1.293,1.673,0.862,-0.91,-0.26,0.22,0.597,-0.356
0.25,1.822,1.086,1.707,0.947,-1.51,0.51,-0.66,0.487,-0.911
0.25,1.395,1.09,1.882,0.819,-2.42,0.06,-0.16,0.527,-0.637
-1,1.146,2.008,1.19,2.031,-2.03,-0.33,1.07,-0.134,0.926
0.25,1.528,1.624,1.874,1.478,1.93,0.3,0.38,0.682,0.09
-0.25,0.819,1.363,1.28,0.971,1.1,-0.83,0.39,-0.007,-0.289
-0.25,1.043,1.497,0.936,1.478,0.31,-0.34,0.57,-0.466,0.451
0.5,1.969,1.873,2.72,1.25,1.25,0.97,0.59,1.982,0.202
0.25,0.988,1.367,1.513,0.877,-0.72,-0.65,0.12,0.321,-0.341
0.25,1.024,1.317,1.974,0.963,2.34,-0.77,0.26,0.601,0.101
0.25,1.011,1.222,1.233,0.944,-1.4,-0.24,0.02,-0.062,-0.486
0,1.146,1.845,1.759,1.519,-0.95,0.05,0.58,0.413,0.311
0,1.248,1.204,1.491,1.179,0.35,0.02,-0.6,0.069,-0.185
0.75,1.471,1.083,1.83,0.99,0.76,0.27,-0.38,0.904,-0.677
1.25,2.108,1.533,2.133,1.548,2.64,1.1,0.21,1.364,0.152
1.5,1.775,0.983,2.428,0.514,1.02,0.53,-0.45,0.929,-1.173
0.25,1.336,1.003,1.532,0.844,-1.35,0.19,-0.11,0.371,-0.429
0.25,1.01,0.848,1.268,0.504,-1.64,-0.23,-0.84,0.02,-1.399
-0.25,1.4,0.883,1.784,0.808,-1.22,0.2,-0.91,0.436,-1.053
-0.75,1.431,2.126,1.983,2.05,-0.3,0.38,1.02,0.707,0.887
0.25,0.965,0.982,1.167,0.746,-0.03,-0.5,-0.52,-0.111,-0.734
-0.25,1.361,1.382,1.445,1.477,1,-0.39,0.06,-0.139,0.089
-0.75,1.892,1.869,1.813,1.704,-2.28,0.53,0.83,0.597,0.322
-0.25,1.258,1.622,1.78,1.449,0.36,0.1,0.37,0.705,0.108
1,1.527,1.223,2.033,0.863,0.54,0.66,-0.06,0.817,-0.604
0.75,0.925,1.171,1.894,1.002,1.65,-0.83,-0.09,0.469,-0.449
-0.5,1.329,1.8,1.441,1.129,-1.22,0.18,0.66,0.283,0.093
0.25,1.318,1.734,1.977,1.549,-0.34,0.03,0.3,0.728,0.305
0.5,1.003,1.297,1.603,1.216,0.82,-0.11,-0.48,0.244,-0.101
2,1.972,0.946,2.605,0.826,1.99,0.99,-0.47,1.822,-0.82
0,1.159,1.111,1.341,0.912,1.77,-0.12,-0.45,-0.093,-0.619
0.25,0.923,1.173,1.375,0.865,-1.74,-0.62,0.06,0.214,-0.516
0,1.306,1.637,1.903,1.484,-0.25,0.18,0.7,0.633,0.478
0.75,1.553,1.336,1.853,0.92,2.12,0.23,0.16,0.866,-0.335
2,2.168,0.831,2.219,0.494,1.98,1,-0.84,1.397,-1.391
0,1.271,1.266,1.416,0.952,-0.07,-0.61,0.11,-0.176,-0.443
-1.5,1.051,2.113,1.383,1.798,-2.03,-0.24,1.06,0.079,0.496
1.25,1.727,1.067,2.439,0.767,1.31,0.62,-0.05,1.05,-0.501
0,0.887,1.099,0.999,0.846,-0.26,-0.52,-0.28,-0.266,-0.612
-0.25,1.053,1.239,1.765,1.084,-0.42,-0.22,0.12,0.691,0.219
0,1.028,1.087,0.877,0.812,-0.85,-0.52,-0.63,-0.637,-1.032
1.5,1.688,0.989,2.173,0.504,0.91,0.59,-0.52,0.901,-1.29
0.25,1.759,1.522,1.777,1.44,1.06,0.37,0.29,0.501,0.106
-0.25,0.815,1.292,1.442,1.468,0.33,-0.82,-0.05,0.194,0.087
-1,1.49,2.273,1.788,2.15,-3,0.26,1.1,0.427,0.93
0.5,1.137,0.99,1.374,0.861,-1.4,-0.27,-0.3,-0.051,-0.54
-0.25,1.326,1.841,1.898,1.126,-2.42,0.07,0.67,0.593,0.092
0.25,0.969,1.428,1.508,0.961,-1.36,-0.55,0.2,0.33,-0.348
1.25,2.287,1.692,2.234,1.698,1.03,1.1,0.3,1.409,0.459
0,1.576,1.835,1.696,1.635,-0.81,0.28,0.74,0.708,0.569
1,0.969,0.773,1.916,0.809,1.62,-0.71,-0.69,0.44,-0.783
0.5,1.363,1.148,1.745,0.914,1.41,0.17,-0.45,0.48,-0.607
2,2.131,1.386,2.613,1.151,2.31,1.06,-0.54,1.806,-0.279
0.25,1.046,0.818,1.752,0.444,1.05,-0.07,-0.81,0.46,-1.484
0.75,1.241,0.911,1.352,0.848,0.79,0.13,-0.36,0.238,-0.586
-1,0.982,1.992,1.474,1.942,-3,-0.67,0.95,0.271,0.626
0,0.93,0.985,1.235,0.752,0.39,-0.41,-0.13,-0.023,-0.431
1,1.658,1.295,1.621,1.009,-0.32,0.28,-0.11,0.391,-0.439
0.5,1.985,1.484,2.451,1.471,0.89,0.85,0.15,1.049,0.124
-0.75,0.637,1.176,0.979,0.893,1.31,-0.78,0.07,-0.26,-0.495
0.25,1.58,1.296,1.692,1.202,-1.28,0.33,0.05,0.338,0.275
-0.25,1.209,2.326,1.04,2.287,-1.26,-0.45,1.07,-0.524,1.128
-0.75,1.074,1.3,1.609,1.354,0.32,-0.25,0.01,0.456,0.037
0.5,1.443,0.949,1.508,0.494,0.4,-0.5,-0.56,-0.132,-1.304
0.5,1.762,1.01,2.189,0.743,-0.98,0.66,-0.72,0.963,-1.071
0.25,1.173,1.116,1.406,0.895,-0.15,-0.38,-0.03,0.031,-0.485
0,1.696,1.238,1.839,1.178,-0.79,0.57,-0.19,0.612,0.069
0,0.615,1.434,0.786,1.309,-0.44,-0.03,-0.49,0.116,-0.133
0,0.963,0.868,1.444,0.697,0.18,-0.83,-0.34,0.005,-0.542
-0.25,1.059,1.418,1.27,1.502,-0.02,-0.28,0.09,0.058,0.201
0.75,1.709,0.861,1.729,0.598,1,0.42,0.17,0.624,-0.123
0.5,0.958,1.2,2.018,1.011,1.96,-0.76,-0.18,0.491,-0.474
0.5,2.343,2.251,2.61,2.101,0.72,0.93,0.61,1.434,0.828
1,1.957,0.976,2.288,0.869,2.68,0.68,-0.66,1.142,-0.758
2.5,1.883,0.796,1.857,0.926,3,0.66,-0.61,0.476,-0.319
0.75,1.615,1.089,1.634,0.949,0.68,0.37,-0.45,0.571,-0.671
0.5,1.01,1.553,1.715,1.423,0.03,-0.35,-0.36,0.413,-0.01
0,1.114,0.998,1.205,0.728,-0.66,-0.03,-0.67,0.092,-1.03
0.25,0.844,0.582,1.127,0.819,0.02,0.15,-0.15,0.432,0.126
0.5,0.911,1.058,1.676,0.804,-0.49,-0.4,-0.28,0.39,-0.65
0.25,1.808,0.903,1.862,0.615,1.43,0.88,-0.88,0.64,-1.313
-0.5,1.45,2.078,1.601,2.097,-0.03,0.12,0.78,0.574,0.966
-0.5,1.214,2.089,1.56,2.042,0.36,-0.2,1.1,0.262,1.405
-0.5,1.504,2.445,1.486,2.069,-2.32,0.48,1.19,0.251,0.575
1.5,1.806,0.793,2.176,0.792,1.12,0.58,-0.72,0.619,-0.594
-0.25,0.765,1.049,1.295,1.182,0.92,-0.96,-0.36,-0.096,-0.127
0.75,0.978,0.807,2.118,0.586,1.1,-0.68,0.02,0.601,-0.14
0,0.77,1.385,0.774,1.411,0.58,0.09,0.09,0.204,0.117
-0.75,1.041,1.976,1.703,2.116,0.75,-0.27,0.73,0.463,0.987
0.25,1.402,1.176,1.478,0.991,0.65,-0.49,-0.26,-0.17,-0.505
0,1.067,1.213,1.398,1.155,-0.23,-0.44,-0.23,0.03,0.028
1,1.894,2.13,2.409,1.277,2.64,0.74,1.12,1.028,0.094
-0.5,0.751,2.368,0.71,1.679,-3,-0.01,1,-0.027,0.616
0,1.037,1.24,1.305,0.937,0.14,-0.36,0.03,0.137,-0.395
1.25,2.063,1.666,2.3,1.664,2.66,0.82,0.36,1.036,0.43
0.5,1.417,1.019,1.63,0.593,-0.47,0.23,-0.55,0.602,-1.109
0.25,0.968,1.02,1.741,0.863,1.43,-0.48,-0.28,0.385,-0.311
-0.75,0.79,2.036,1.045,1.179,-1.1,0,1.07,0.283,0.128
1,1.513,0.81,1.742,0.563,0.08,0.03,-0.9,0.62,-1.347
0,1.006,0.735,1.37,0.927,0.54,-0.49,-0.1,0.009,0.175
1.5,2.117,1.077,2.25,0.788,2.33,0.8,-0.31,1.24,-0.677
1,2.381,1.333,2.312,1.031,2.64,0.98,-0.07,0.921,-0.414
0.75,1.273,0.676,1.59,0.923,-0.54,-0.2,-0.15,0.31,0.223
-1,1.235,2.202,1.321,1.964,-0.61,0.03,1.08,0.151,0.834
0.25,1.474,1.033,1.737,1.2,1.38,-0.25,-0.16,0.265,-0.102
0.25,0.935,0.945,1.299,0.93,0.67,-0.41,-0.54,0.134,-0.678
0.75,1.935,1.663,2.502,1.51,1.1,1.01,0.21,1.309,0.141
0,0.901,0.835,0.738,0.635,0.9,-0.01,0.04,0.019,-0.117
0.25,1.292,1.129,1.476,1.098,-1.98,0.13,-0.25,0.45,-0.164
0,1.139,0.96,2.136,0.846,1.33,-0.48,-0.46,0.746,-0.405
0,1.374,1.21,1.388,0.978,0.08,-0.54,-0.11,-0.307,-0.307
-0.25,0.753,1.247,1.209,1.272,0.21,-1,-0.21,-0.134,0.087
-1.25,1.307,2.135,1.637,2.097,0.31,-0.05,0.73,0.387,0.975
0,0.823,2.024,0.635,1.443,-0.56,-0.09,0.77,-0.187,0.099
0.75,2.218,2.465,2.383,1.706,1.7,1.2,1.02,1.256,0.684
-0.25,2.003,2.356,1.943,1.611,-1.06,0.75,0.96,0.739,0.63
-0.5,1.066,1.916,1.295,1.215,-0.56,-0.27,0.99,0.047,0.177
1.75,2.232,0.806,2.345,1.024,1.43,0.83,-0.1,1.276,0.239
-0.75,0.962,2.113,1.886,1.984,-2.38,-0.52,1.14,0.638,0.878
0.25,1.107,1.527,1.222,1.394,-0.3,-0.43,-0.33,-0.091,-0.03
0.5,1.126,1.281,1.437,1.011,1.1,-0.3,-0.13,0.163,-0.426
0.75,1.65,1.116,1.847,0.762,-1.93,0.21,-0.43,0.728,-0.987
0,0.878,0.876,1.084,0.772,-0.02,0.06,-0.46,0.297,-0.643
0.25,0.798,0.943,1.325,1.029,-0.29,-0.96,0.01,-0.071,0.192
0,1.121,1.326,1.669,1.563,0.27,-0.29,0.19,0.434,0.335
-0.25,1.044,1.094,0.784,0.626,-1.13,0.09,-0.36,0.039,-1.108
0.25,2.094,2.144,2.307,2.115,1.2,1.15,0.75,1.296,0.915
0,1.556,1.284,1.5,1.126,0.58,-0.2,-0.13,-0.18,-0.015
1,2.181,1.145,2.406,1.052,0.66,0.79,-0.22,0.963,-0.604
0.75,1.743,1.059,2.472,1.01,1.67,0.62,-0.46,1.282,-0.236
0.25,0.918,0.782,1.233,0.552,-0.57,-0.41,-1.02,0.072,-1.36
-0.5,0.971,1.86,0.663,1.54,-1.15,-0.02,0.45,-0.183,0.178
0.75,1.123,2.183,1.909,1.63,-1.25,-0.33,0.82,0.605,0.246
1,1.453,0.861,1.627,0.682,2.28,0.36,0.04,0.661,-0.095
0,1.134,1.004,1.564,0.959,0.23,-0.33,-0.38,0.259,-0.381
0.25,1.182,1.011,1.138,1.124,1.78,-0.27,0,-0.17,0.274
1.5,2.196,0.843,1.978,0.648,1.1,0.8,-0.1,0.752,-0.274
0,1.258,2.249,1.468,1.586,-0.52,-0.15,0.77,0.2,0.594
-0.75,1.585,2.006,1.611,1.305,-2.08,-0.18,0.79,-0.117,0.028
-1.25,0.827,2.125,1.298,1.987,-3,-0.92,1.18,-0.15,0.97
1,0.997,1.144,1.515,1.189,-1.36,-0.57,0.12,0.204,0.349
0,0.924,1.452,1.148,1.656,-0.26,-0.41,0.45,-0.114,0.492
0.25,2.187,1.172,1.997,0.87,-0.25,0.81,-0.28,0.769,-0.578
-0.25,0.952,1.101,1.973,1.076,0.24,-0.46,-0.33,0.571,-0.293
1,2.062,0.779,1.929,0.696,0.39,0.65,-0.56,0.663,-0.71
-0.25,1.101,0.865,0.888,1,0.62,0,-0.59,0.058,-0.253
0.25,0.806,1.159,1.062,1.171,1,-0.28,-0.35,0.271,-0.532
1.25,2.096,1.158,2.292,0.949,2.03,0.97,-0.4,1.087,-0.352
0.75,2.316,1.554,2.472,1.386,2.64,0.76,-0.17,0.911,-0.029
1.25,2.142,1.112,2.589,1.282,1.63,0.93,0.1,1.376,0.409
0.25,1.018,2.135,1.871,1.755,-0.47,-0.37,0.95,0.581,0.434
0.5,1.748,2.336,1.725,1.862,1.87,0.76,0.96,0.679,0.525
-0.25,0.764,1.293,1.168,1.103,0.02,-0.63,-0.13,-0.05,-0.034
0.25,1.088,0.83,1.472,0.721,-2.03,-0.31,-0.91,0.214,-1.092
-1,0.952,2.282,1.953,2.012,-1.35,-0.45,0.83,0.559,0.853
0.25,1.523,0.79,1.538,0.635,0.66,-0.19,-0.31,-0.235,-0.429
0.5,1.127,1.139,1.382,1.105,1.82,-0.19,0.02,0.129,0.181
-0.5,2.152,2.116,2.088,1.931,-0.14,1.01,0.59,0.925,0.655
1,2.329,0.868,2.563,0.92,-0.44,0.69,-0.57,0.953,-0.328
0,2.159,2.195,2.597,1.887,-0.55,0.95,1.13,1.508,0.91
-0.25,1.196,0.958,1.115,1.075,-0.98,-0.3,-0.48,-0.166,-0.287
-0.25,1.069,1.894,0.649,1.804,-1.06,-0.14,0.9,-0.199,0.743
0.25,2.289,0.929,1.977,0.642,0.65,0.86,-0.44,0.754,-0.817
0,0.833,1.114,1.212,0.457,-0.4,-0.89,-0.21,-0.227,-1.198
0.25,1.267,1.014,1.62,0.81,1.6,-0.15,-0.61,0.296,-0.565
0,0.97,1.124,1.205,0.913,-1.27,-0.35,-0.18,-0.069,-0.526
-0.25,1.116,1.028,0.911,1.237,-0.51,0,-0.2,0.057,0.16
-0.5,1.112,2.09,1.938,1.348,-0.3,-0.2,0.89,0.572,0.104
-0.5,0.774,2.41,1.041,1.543,0.03,-0.35,0.78,0.226,0.478
1.5,2.087,0.877,2.14,0.767,2.03,0.6,-0.79,0.897,-1.03
1.75,2.184,1.432,2.306,1.319,1.22,1.3,-0.23,1.125,-0.089
0.25,0.999,1.302,1.713,0.985,1.72,-0.43,-0.03,0.368,-0.19
0.25,0.85,2.257,1.125,1.825,1.55,-0.64,0.7,-0.212,0.435
0.25,2.068,2.038,1.871,1.72,-1,1.01,0.89,0.826,0.335
0.75,0.994,1.232,1.625,1.208,0.04,-0.76,-0.22,0.32,-0.441
0.25,1.296,0.974,1.728,0.901,0.36,-0.03,-0.51,0.531,-0.401
0,1.122,0.999,1.375,0.969,1.29,-0.18,-0.42,0.126,-0.33
0,2.333,1.766,2.424,1.852,-1.1,0.41,0.29,0.577,0.431
1.25,2.104,0.971,2.501,0.81,2.64,0.88,-0.34,1.335,-0.519
-1.25,1.007,2.349,0.576,1.931,-1.61,-0.22,1.6,-0.296,1.25
0.25,2.049,0.759,1.837,0.623,0.64,0.48,-0.38,0.476,-0.46
0,1.363,0.934,1.447,0.753,-1.41,-0.46,-0.87,-0.27,-0.795
1.75,2.115,1.154,2.106,1.123,1.69,0.97,0.02,0.987,0.178
-0.75,0.919,1.959,1.127,1.846,-0.52,-0.79,0.93,-0.303,0.612
0,1.348,1.089,1.032,0.468,1.29,-0.09,-0.14,-0.203,-1.174
0.25,0.952,1.336,1.12,1.172,-0.51,-0.41,-0.37,-0.188,-0.408
-0.25,1.007,1.23,1.779,0.985,1.23,-0.21,-0.15,0.42,-0.186
-0.25,0.939,2.213,1.698,1.799,-0.39,-0.59,0.36,0.361,0.557
0.25,0.784,0.961,1,0.932,-0.89,-0.37,-0.58,0.161,-0.829
0,1.869,2.274,2.154,1.58,1.04,0.37,1,0.895,0.284
1,1.892,1.341,1.713,1.244,0.73,0.89,-0.09,0.61,-0.352
-0.25,1.096,2.012,1.472,1.777,-1.06,-0.69,0.87,0.113,0.354
-0.25,1.171,1.861,0.892,1.794,-0.01,0.02,0.26,0.016,0.38
2,2.018,1.239,2.271,0.955,1,1.17,0,1.073,-0.355
0.75,1.014,1.147,1.243,1.252,1.15,-0.58,-0.15,-0.087,0.157
0.5,1.122,0.898,1.572,0.609,1.93,-0.26,-0.32,0.279,-0.435
1.75,2.09,1.189,2.511,1.166,2.64,0.87,-0.01,1.349,0.154
1.5,2.175,1.075,2.324,0.556,0.21,1.08,-0.09,0.952,-0.944
-0.25,1.217,1.797,1.488,1.656,0.39,0.15,0.8,0.304,0.471
-0.5,1.307,2.136,1.298,1.695,-1.93,-0.14,1.16,-0.465,0.446
1,2.16,1.156,2.335,0.882,2.33,0.45,-0.1,0.505,-0.258
0.75,1.137,1.068,1.278,0.919,-0.31,-0.12,-0.44,0.115,-0.761
0,1.846,1.137,1.74,0.91,0.32,0.14,-0.53,0.426,-0.675
-0.25,1.227,0.886,0.685,0.86,-0.03,-0.25,-0.62,-0.27,-0.517
-1,1.252,1.994,1.072,1.875,-2.03,-0.07,0.55,-0.038,0.443
-0.5,1.113,2.032,1.751,2.049,1.18,0,0.39,0.412,0.842
-0.25,1.165,1.16,0.874,1.173,-0.02,-0.11,-0.29,-0.025,-0.228
-0.25,1.721,2.188,1.642,1.63,-0.25,0.72,0.97,0.533,0.378
0.25,0.82,1.252,1.1,0.847,1,-0.45,0.12,0.178,-0.359
-1.25,1.153,2.035,1.278,1.852,-2.08,-0.1,0.95,-0.084,1.165
0.5,2.153,1.159,2.084,0.869,-0.05,1.09,-0.22,0.967,-0.428
0,1.049,1.295,1.544,1.092,2.01,-0.45,0.16,0.133,-0.01
1.5,2.135,1.869,2.274,2.012,3,0.72,0.22,1.057,0.56
0.75,1.115,1.182,1.463,1.286,1.33,-0.55,-0.36,0.111,-0.009
0,1.046,1.227,1.125,1.358,0.81,-0.47,-0.11,-0.297,-0.124
0.25,2.136,2.13,2.308,1.745,-0.1,0.45,1.07,0.495,0.494
1.75,2.174,1.203,2.217,1.234,2.66,1.37,-0.12,0.893,-0.342
0.25,1.247,1.233,1.638,0.796,0.13,0.12,-0.48,0.399,-0.878
0,1.098,1.009,0.611,0.925,0.03,-0.45,-0.31,-0.405,-0.172
0.25,1.687,1.051,1.789,0.509,-0.55,-0.01,-0.06,0.506,-0.957
1,2.325,1.048,2.52,1.024,3,1.12,-0.44,1.402,-0.346
0.75,1.289,0.863,1.433,0.576,1.36,0.16,-0.43,0.273,-0.546
-1.5,1.142,2.232,0.897,1.922,-2.1,-0.15,0.82,-0.024,0.426
0,1.076,1.646,1.601,1.622,-1,-0.29,0.58,0.354,0.442
0.25,1.077,1.206,1.151,0.901,1.75,-0.37,-0.36,-0.657,-0.745
1,1.967,1.363,1.982,0.89,0.55,0.89,0.18,0.908,-0.312
-0.25,1.088,2.153,1.493,2.14,-0.54,-0.65,0.48,0.129,0.885
0.5,1.027,1.049,1.429,0.87,1.67,-0.41,-0.27,-0.014,-0.265
1,1.054,1.179,1.449,1.082,0.53,-0.31,-0.11,0.206,0.011
-1,1.242,2.339,1.162,1.777,-2.28,-0.27,0.96,-0.351,0.531
1,1.673,1.075,1.489,1.17,1.43,0.51,-0.36,0.362,-0.224
0.25,1.199,1.834,1.05,1.972,3,-0.12,0.26,-0.078,0.461
-1.25,0.786,2.071,1.078,1.899,-1.34,-0.5,1.19,0.134,1.29
0.5,0.909,1.076,1.596,1.164,1.18,-0.16,-0.47,0.303,-0.101
0,1.348,2.09,1.585,1.781,0.07,0.03,1.14,0.368,0.563
0.25,2.113,1.7,2.394,1.674,1.42,0.52,0.54,0.606,0.461
-1,1.627,2.188,1.814,2.181,-1.93,0.03,1.14,0.516,1.469
-1.25,1.115,2.145,1.188,1.823,-3,-0.13,0.83,-0.604,0.297
0.25,1.453,1.138,1.666,1.196,0.55,0.28,-0.16,0.37,-0.321
0,1.141,1.177,0.639,1.068,1.38,-0.41,-0.31,-0.397,-0.484
0.25,1.233,0.956,1.213,0.602,-0.44,-0.08,-0.01,-0.263,-0.802
-0.5,1.198,0.947,0.919,0.863,-0.13,-0.13,-0.42,-0.024,-0.497
0,0.695,1.248,0.996,0.877,-0.69,-0.62,-0.45,0.031,-0.766
0.75,2.058,1.481,2.115,1.148,1.6,0.78,0.5,1.058,-0.1
1,1.892,1.145,2.259,0.986,1.72,0.44,-0.19,0.997,-0.183
1,2.158,1.874,2.31,1.689,2.64,1.24,0.87,0.951,0.42
0.5,1.074,1.071,1.148,1.007,0.05,-0.21,-0.36,-0.318,-0.148
0,1.272,1.382,0.806,0.996,-0.37,-0.27,0.25,-0.228,-0.161
-0.75,1.131,2.159,1.139,1.986,-0.72,-0.42,0.5,-0.364,0.677
0.5,1.108,0.62,1.279,0.534,1.72,-0.25,-0.75,-0.155,-0.6
0.25,1.399,1.281,1.524,0.922,1.37,-0.18,-0.22,0.166,-0.364
0.75,2.169,1.475,2.123,1.852,2.32,1.33,-0.16,0.99,0.251
0.25,1.119,0.976,1.584,1.297,1.29,0.1,-0.26,0.297,0.024
-0.75,1.052,2.357,1.21,1.804,-0.6,-0.15,0.95,0.085,0.521
0.5,1.415,1.112,1.692,1.017,1.34,0.32,-0.13,0.383,-0.16
-0.75,0.568,2.041,0.976,2.031,0.08,-0.8,1.21,-0.05,0.944
1,2.14,1.187,2.407,1.15,3,0.5,-0.34,0.614,-0.172
0.75,1.413,1.431,1.322,1.084,1.33,0.27,-0.2,0.196,-0.521
