hg,z20,k20,zz20,kk20,jz,z20js,k20js,zc20js,kc20js
1.25,1.852,1.361,2.142,1.038,0.71,1.03,0.17,1.333,-0.222
-0.25,0.689,1.269,1.038,1.094,0.48,-1.18,-0.25,-0.165,-0.641
-1.25,0.63,2.111,1.214,1.908,0.55,-1.2,1.22,-0.389,1.011
0.25,1.176,0.788,1.456,0.781,0.79,-0.66,-0.37,-0.46,-0.569
-0.25,1.097,1.239,1.683,1.138,-1.4,-0.45,-0.36,0.606,-0.182
0,0.875,1.161,1.318,1.021,0.31,-0.79,-0.35,-0.051,-0.667
0.25,1.179,0.939,1.356,0.727,2.35,-0.56,-0.14,-0.026,-0.232
-1,1.444,2.213,2.164,1.683,-0.63,-0.31,1.22,0.817,0.424
-0.5,1.283,1.697,1.548,1.711,-0.01,0.08,0.43,0.545,0.699
0.25,2.322,2.051,2.197,1.569,1.24,1.3,1.23,1.294,0.459
2,1.958,0.617,2.306,0.849,1.93,0.98,-1.38,1.708,-0.957
0.5,1.301,0.841,1.362,0.684,0.76,-0.07,-0.81,0.091,-0.777
-0.25,0.741,1.317,1.064,1.143,0.95,-0.52,0.28,-0.028,-0.275
-0.75,1.318,2.191,1.311,1.848,0.3,-0.19,1.13,-0.308,0.312
0.5,1.203,1.183,1.278,0.784,1.32,-0.36,-0.55,-0.26,-1.099
0,0.948,1.333,1.217,0.988,-0.02,-0.14,-0.39,0.299,-0.173
0.5,1.663,1.875,2.306,1.441,-0.23,0.26,1.17,1.153,0.459
0.5,1.294,1.259,2.057,0.819,-0.64,-0.31,-0.53,0.652,-0.961
2,2.129,1.344,2.366,0.613,2.71,1.39,-0.16,1.513,-0.704
2,2.309,0.759,2.141,0.698,2.71,1.38,-1.07,1.366,-0.958
0,1.396,1.218,1.866,0.677,-1.7,0.01,-0.57,0.74,-1.179
1.75,2.172,1.075,2.379,0.691,1.98,1.38,-0.58,1.382,-1.104
0.5,1.119,0.594,1.313,0.725,1.38,-0.4,-0.76,-0.175,-0.738
-0.5,0.745,1.296,1.19,1.119,-2.03,-1.29,-0.31,-0.541,-0.185
0,1.015,1.416,1.233,0.986,-1.66,-0.16,0.05,0.178,-0.458
-1.25,0.727,1.913,1.292,1.352,-2.38,-0.95,1.18,-0.13,0.369
0.25,1.567,2.507,1.871,1.83,0.99,0.69,1.67,1.155,0.66
